Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2004-12-23,4.15,2005-01-21,3.61,19,-13.00
2005-02-15,3.57,2005-06-16,4.96,84,39.06
2005-09-07,5.21,2005-12-20,8.28,73,58.85
2006-06-01,7.76,2006-06-06,6.91,3,-11.05
2006-06-23,6.95,2006-07-10,5.85,10,-15.83
2006-07-25,6.13,2006-09-19,8.52,39,38.85
2007-01-04,9.47,2007-02-26,11.73,35,23.81
2007-07-06,11.17,2007-07-31,9.72,17,-13.03
2007-08-08,11.19,2007-10-19,13.07,51,16.83
2008-07-17,17.41,2008-08-21,13.31,25,-23.51
2008-09-19,13.95,2008-09-24,12.75,3,-8.64
2008-11-04,7.88,2008-11-12,6.08,6,-22.84
2008-11-26,7.22,2009-09-25,13.77,208,90.58
2010-02-11,16.49,2010-05-06,20.23,58,22.65
2010-10-25,28.14,2010-12-14,34.08,35,21.12
2011-02-04,34.49,2011-03-18,30.00,29,-13.00
2011-03-24,32.31,2011-08-18,28.51,102,-11.75
2011-08-31,32.19,2011-11-22,27.06,58,-15.92
2011-12-05,31.25,2011-12-21,24.76,12,-20.78
2012-01-10,26.20,2012-04-10,38.43,62,46.70
2012-05-21,37.26,2012-06-01,32.75,8,-12.12
2012-06-19,34.50,2012-07-26,31.15,26,-9.71
2012-11-19,36.83,2013-01-16,42.41,39,15.15
2013-06-27,38.84,2013-10-08,50.14,71,29.09
2014-05-12,53.43,2015-03-10,63.76,208,19.33
2014-10-21,57.24,2015-03-10,63.76,95,11.39
2014-12-18,59.33,2015-03-10,63.76,54,7.47
2015-09-08,70.76,2016-02-05,58.51,104,-17.31
2016-02-22,63.98,2016-06-13,81.49,78,27.37
2016-07-08,80.89,2016-09-02,75.10,40,-7.16
2016-08-25,80.16,2016-09-02,75.10,6,-6.31
2016-10-10,75.10,2017-06-09,87.27,167,16.21
2017-01-03,70.54,2017-06-09,87.27,109,23.72
2018-11-07,141.79,2018-11-19,121.01,8,-14.66
2018-11-28,140.64,2020-02-24,185.94,309,32.21
2019-08-21,147.38,2020-02-24,185.94,127,26.16
2019-10-15,152.74,2020-02-24,185.94,89,21.74
2020-03-26,154.73,2020-09-17,244.53,121,58.04
2020-12-22,231.17,2021-01-12,215.52,13,-6.77
2021-01-20,223.44,2021-03-03,206.00,29,-7.81
2021-03-23,215.00,2021-11-19,301.17,169,40.08
2022-01-31,232.63,2022-02-14,206.40,10,-11.28
2022-03-02,210.39,2022-04-21,177.23,35,-15.76
2022-05-04,185.48,2022-05-09,163.60,3,-11.80
2022-06-01,176.07,2022-09-01,153.53,64,-12.80
2022-10-04,155.73,2022-10-11,142.57,5,-8.45
2023-08-28,211.72,2023-10-03,199.83,25,-5.62
2023-10-16,208.53,2023-10-25,197.06,7,-5.50
2024-05-08,278.97,2024-05-30,218.01,15,-21.85
