Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2000-11-15,15.00,2000-12-20,11.40,24,-24.00
2001-01-16,10.20,2001-02-05,6.70,12,-34.31
2001-04-11,4.00,2002-03-01,3.00,208,-25.00
2001-09-04,6.50,2001-09-19,4.95,7,-23.85
2001-10-12,4.20,2002-02-21,3.30,84,-21.43
2002-03-25,2.99,2002-03-27,2.40,2,-19.73
2002-05-28,1.85,2002-07-10,1.00,30,-45.95
2002-09-04,0.75,2002-09-18,0.60,10,-20.00
2002-09-20,0.71,2002-10-18,0.59,20,-16.90
2002-11-07,0.69,2003-05-21,2.02,128,192.75
2003-02-24,0.79,2003-05-21,2.02,59,155.70
2003-08-21,3.00,2004-07-27,2.49,229,-17.00
2004-01-07,4.01,2004-05-04,3.34,80,-16.71
2004-03-02,4.11,2004-04-19,3.66,32,-10.95
2004-04-26,4.00,2004-05-04,3.34,6,-16.50
2004-05-20,3.57,2004-07-13,2.98,35,-16.53
2004-08-12,2.79,2006-02-08,2.04,373,-26.88
2004-10-29,2.94,2006-01-25,2.08,308,-29.25
2004-11-12,2.86,2005-04-28,2.53,112,-11.54
2005-02-02,3.50,2005-02-23,3.05,14,-12.86
2005-03-29,2.80,2005-04-28,2.53,22,-9.64
2005-05-09,2.73,2006-01-25,2.08,179,-23.81
2005-06-20,3.06,2006-01-25,2.08,151,-32.03
2005-08-26,3.59,2005-10-13,3.16,33,-11.98
2005-11-01,3.33,2005-12-08,2.98,26,-10.51
2005-12-23,3.07,2006-01-24,2.90,19,-5.54
2006-01-04,3.05,2006-01-24,2.90,13,-4.92
2006-02-17,2.23,2006-03-15,1.95,17,-12.56
2006-02-23,2.20,2006-03-01,2.08,4,-5.45
2006-03-31,1.99,2006-04-12,1.79,8,-10.05
2006-06-05,1.28,2006-06-08,1.17,3,-8.59
2006-06-09,1.28,2006-06-21,1.06,6,-17.19
2006-08-23,0.82,2006-09-26,1.03,23,25.61
2007-01-08,0.96,2007-05-08,1.31,81,36.46
2007-03-19,1.10,2007-05-08,1.31,33,19.09
2007-06-11,1.03,2007-06-12,0.95,1,-7.77
2007-07-19,0.90,2007-08-06,0.77,12,-14.44
2007-08-08,0.90,2007-08-14,0.71,4,-21.11
2007-09-05,0.77,2007-09-28,0.69,17,-10.91
2007-10-09,0.79,2007-10-31,0.67,16,-15.19
2007-12-07,0.66,2008-01-07,0.51,16,-22.73
2008-01-10,0.70,2010-03-29,2.21,352,215.71
2008-03-25,0.90,2008-10-13,0.70,137,-22.22
2008-04-29,0.84,2008-05-06,0.73,4,-13.10
2008-05-14,0.81,2008-05-22,0.72,6,-11.11
2008-11-04,0.79,2008-11-24,0.54,14,-31.65
2008-12-09,0.62,2010-03-29,2.21,127,256.45
2008-12-22,0.59,2009-01-02,0.52,4,-11.86
2009-01-06,0.58,2010-03-29,2.21,112,281.03
2010-05-21,2.58,2010-06-17,1.40,18,-45.74
2010-07-23,1.17,2010-08-25,0.98,23,-16.24
2010-09-09,1.01,2011-02-16,1.60,110,58.51
2010-09-23,0.98,2011-02-16,1.60,100,63.37
2011-02-17,2.07,2012-10-22,3.06,422,47.97
2011-06-27,2.52,2011-08-09,1.91,30,-24.21
2011-08-30,2.19,2011-11-17,1.60,56,-26.89
2012-09-24,3.31,2012-10-22,3.06,20,-7.38
2012-11-29,2.72,2012-12-04,2.40,3,-11.48
2012-12-12,2.56,2013-01-24,2.31,28,-9.55
2013-03-04,2.33,2013-11-19,2.01,182,-13.75
2013-07-02,2.61,2013-11-07,2.09,90,-19.80
2013-10-18,3.21,2013-11-07,2.09,14,-34.85
2013-11-27,2.40,2013-12-11,1.99,9,-17.13
2013-12-31,2.08,2014-04-14,1.68,71,-19.49
2014-02-11,2.14,2014-03-27,1.93,31,-9.82
2014-06-25,1.24,2014-09-23,1.14,62,-7.59
2014-08-29,1.29,2014-09-23,1.14,16,-11.11
2014-10-20,1.12,2014-12-12,0.91,38,-19.03
2014-12-24,1.05,2015-03-16,2.55,54,143.05
2015-11-09,2.28,2016-01-20,1.52,35,-33.54
2016-02-17,1.43,2016-10-25,2.48,118,73.65
2016-02-25,1.36,2016-02-26,1.30,1,-4.77
2016-03-02,1.36,2016-10-25,2.48,110,82.72
2016-08-03,1.50,2016-10-25,2.48,47,65.56
2016-11-10,2.99,2018-05-31,1.92,64,-35.79
2017-03-10,2.86,2018-05-31,1.92,7,-32.96
