Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1980-12-23,7.17,1981-01-19,7.23,17,0.75
1981-02-13,7.01,1981-05-20,9.03,66,28.82
1981-03-02,6.96,1981-05-20,9.03,56,29.81
1981-03-11,7.01,1981-05-20,9.03,49,28.82
1981-08-28,7.36,1981-09-10,6.56,8,-10.91
1981-10-13,5.89,1981-11-13,6.16,23,4.55
1982-02-08,6.16,1982-03-05,5.96,18,-3.26
1982-04-02,5.55,1982-05-24,7.03,35,26.51
1982-09-15,5.35,1982-09-28,5.22,9,-2.50
1982-10-11,5.42,1983-01-21,7.83,72,44.44
1983-02-14,7.63,1983-03-10,7.96,17,4.39
1983-04-22,7.96,1983-05-17,8.03,17,0.84
1983-06-23,8.03,1983-06-29,7.86,4,-2.08
1983-07-21,7.86,1983-08-03,7.69,9,-2.13
1983-09-23,7.53,1983-11-30,8.87,47,17.78
1983-10-11,7.53,1983-11-30,8.87,35,17.78
1983-10-17,7.61,1983-11-30,8.87,31,16.48
1984-01-06,8.53,1984-02-16,9.70,29,13.73
1984-04-19,9.87,1984-05-07,9.87,11,0.00
1984-11-01,11.92,1984-11-07,11.92,4,0.00
1985-01-22,15.47,1985-03-08,19.24,32,24.32
1985-07-10,17.15,1985-07-30,17.56,14,2.44
1985-08-22,17.56,1985-10-03,17.46,28,-0.60
1985-11-15,17.15,1986-01-08,16.73,35,-2.44
1985-11-29,16.94,1986-01-08,16.73,26,-1.23
1986-01-14,16.94,1986-03-07,20.49,37,20.99
1986-06-26,23.84,1986-09-11,21.33,53,-10.53
1986-07-10,23.21,1986-09-11,21.33,44,-8.11
1986-07-22,22.90,1986-09-11,21.33,36,-6.85
1986-10-07,21.01,1986-11-17,24.78,29,17.91
1987-03-31,25.41,1987-04-07,25.09,5,-1.23
1987-06-03,26.82,1987-08-03,31.05,42,15.79
1987-09-22,31.29,1987-10-08,31.05,12,-0.75
1987-11-19,23.05,1988-01-04,23.05,29,0.00
1987-11-23,22.82,1988-01-04,23.05,27,1.03
1988-02-22,22.58,1988-04-18,26.35,39,16.67
1988-09-09,29.17,1988-10-11,29.17,22,0.00
1988-09-15,29.17,1988-09-21,28.23,4,-3.23
1988-09-22,29.17,1988-10-11,29.17,13,0.00
1988-10-28,29.17,1988-11-21,27.29,16,-6.45
1988-11-22,28.70,1988-12-28,29.17,24,1.64
1989-01-31,28.70,1989-02-06,27.52,4,-4.10
1989-07-14,34.34,1989-08-17,34.34,24,0.00
1989-09-29,33.87,1989-10-17,31.99,12,-5.56
1989-11-16,32.93,1989-12-06,31.05,13,-5.71
1989-12-11,32.46,1989-12-20,30.11,7,-7.25
1990-01-11,31.05,1990-01-30,29.40,13,-5.30
1990-03-05,28.46,1990-03-09,27.52,4,-3.31
1990-03-12,28.23,1990-06-06,27.29,60,-3.33
1990-06-20,27.76,1990-07-13,27.76,16,0.00
1990-09-17,22.58,1990-10-16,20.23,21,-10.42
1990-09-20,22.58,1990-10-02,21.64,8,-4.17
1990-10-01,22.82,1990-10-16,20.23,11,-11.34
1990-10-03,23.05,1990-10-16,20.23,9,-12.24
1990-11-09,20.23,1990-12-06,19.76,18,-2.33
1990-11-21,20.23,1990-12-06,19.76,10,-2.33
1990-12-10,20.23,1990-12-21,18.35,9,-9.30
1991-01-24,18.82,1991-04-08,26.35,50,40.00
1991-05-09,25.41,1991-06-03,24.94,16,-1.85
1991-11-22,25.88,1991-11-27,23.99,3,-7.27
1992-01-10,22.35,1992-01-30,21.64,14,-3.16
1992-01-16,22.35,1992-01-30,21.64,10,-3.16
1992-12-21,26.82,1993-02-16,31.05,38,15.79
1993-05-05,31.05,1993-05-21,27.99,12,-9.85
1993-06-14,30.58,1993-07-01,29.88,13,-2.31
1993-07-16,30.11,1993-07-26,29.88,6,-0.78
1993-09-30,32.70,1993-10-20,32.70,14,0.00
1993-12-27,30.58,1994-01-04,30.11,6,-1.54
1994-02-23,31.52,1994-03-10,31.05,11,-1.49
1994-03-31,31.52,1994-04-13,29.88,8,-5.22
1994-04-19,30.82,1994-06-09,31.29,35,1.53
1994-07-12,30.82,1994-08-30,31.52,35,2.29
1994-09-23,31.76,1994-10-18,30.11,17,-5.19
1994-11-15,30.11,1994-12-27,30.82,28,2.34
1995-04-10,31.76,1995-04-26,31.52,11,-0.74
1995-05-01,31.99,1995-05-25,32.23,18,0.74
1995-06-13,32.46,1995-07-18,33.40,24,2.90
1995-08-14,33.40,1995-08-22,33.17,6,-0.70
1995-11-10,33.64,1996-01-11,37.17,41,10.49
1996-02-29,37.40,1996-03-04,36.70,2,-1.89
1996-03-25,37.40,1996-04-02,35.29,6,-5.66
1996-07-26,37.17,1996-08-22,40.23,19,8.23
1996-10-03,43.05,1996-10-09,41.64,4,-3.28
1997-03-10,49.40,1997-04-02,49.87,16,0.95
1997-05-01,49.87,1997-05-27,51.52,17,3.30
1997-09-08,52.58,1997-10-27,59.87,35,13.87
1997-11-26,57.40,1997-12-11,56.81,10,-1.02
1998-01-09,56.93,1998-02-05,56.46,18,-0.83
1998-03-03,55.75,1998-03-19,53.16,12,-4.64
1998-03-26,55.05,1998-04-23,55.63,19,1.07
1998-04-30,56.93,1998-05-28,57.16,19,0.41
1998-07-06,58.46,1998-07-20,57.52,10,-1.61
1998-08-18,54.10,1998-08-26,52.69,6,-2.61
1998-09-21,53.63,1998-09-29,52.93,6,-1.32
1998-10-19,51.52,1998-11-13,53.63,19,4.11
1999-03-01,56.34,1999-05-14,65.63,53,16.49
1999-03-25,55.63,1999-05-14,65.63,35,17.97
1999-11-02,62.81,1999-12-01,63.98,20,1.87
1999-12-13,64.34,1999-12-29,63.87,11,-0.73
2000-01-07,64.46,2000-02-08,66.22,21,2.74
2000-06-02,73.16,2000-06-16,72.34,10,-1.13
2000-09-08,80.10,2000-10-02,79.51,16,-0.73
2000-11-02,75.51,2000-12-11,76.57,26,1.40
2001-01-30,75.94,2001-02-14,73.37,11,-3.38
2001-03-30,70.60,2001-05-17,73.68,33,4.36
2001-08-07,73.82,2001-09-04,70.43,19,-4.59
2001-08-17,73.39,2001-09-05,69.30,12,-5.58
2001-09-28,69.87,2001-10-23,69.10,17,-1.09
2002-01-03,69.56,2002-03-25,74.10,55,6.53
2002-05-29,74.81,2002-06-05,73.11,5,-2.26
2002-07-29,65.63,2002-08-05,64.36,5,-1.94
2002-08-12,64.19,2002-09-12,66.48,22,3.56
2002-10-24,61.91,2002-12-10,66.90,32,8.07
2003-01-29,67.83,2003-02-06,66.00,6,-2.70
2003-02-14,67.27,2003-04-30,74.13,51,10.20
2003-10-02,80.23,2003-10-24,80.17,16,-0.07
2004-01-23,85.67,2004-02-20,86.66,19,1.15
2004-05-03,81.44,2004-07-22,92.73,55,13.86
2004-05-18,80.68,2004-07-22,92.73,44,14.94
2005-01-18,86.10,2005-02-07,80.00,14,-7.08
2005-03-04,80.00,2005-03-21,74.89,11,-6.39
2005-04-06,75.06,2005-04-20,74.13,10,-1.24
2005-08-30,84.54,2005-09-15,84.54,11,0.00
2005-09-29,85.14,2005-10-04,84.18,3,-1.13
2005-10-21,81.83,2005-10-27,79.60,4,-2.73
2006-02-15,85.82,2006-02-21,85.82,3,0.00
2006-05-05,89.32,2006-05-12,83.50,5,-6.51
2006-06-01,88.38,2006-06-06,85.14,3,-3.67
2006-11-14,100.64,2006-11-27,99.59,8,-1.04
2007-01-10,100.32,2007-02-09,106.76,21,6.42
2007-03-21,98.46,2007-04-11,90.56,14,-8.03
2007-04-17,98.04,2007-04-30,94.76,9,-3.34
2007-05-31,91.40,2007-06-20,81.92,14,-10.38
2007-07-02,85.19,2007-07-24,78.00,15,-8.45
2007-07-13,83.56,2007-07-24,78.00,7,-6.66
2007-08-17,74.69,2007-10-15,82.63,40,10.62
2007-12-06,68.51,2007-12-17,61.54,7,-10.18
2007-12-21,66.34,2008-01-17,58.57,17,-11.70
2008-01-23,65.77,2008-02-11,66.34,13,0.86
2008-07-22,63.94,2008-08-07,61.20,12,-4.28
2008-11-13,41.83,2008-11-14,31.08,1,-25.71
2008-12-03,35.29,2008-12-29,35.26,17,-0.08
2009-03-12,21.59,2009-05-01,22.58,35,4.58
2009-07-15,23.88,2009-08-17,24.47,23,2.48
2009-09-14,22.92,2009-10-01,22.47,13,-1.97
2009-09-18,22.84,2009-10-01,22.47,9,-1.61
2009-11-30,20.32,2009-12-30,21.31,21,4.86
2010-03-01,20.66,2010-04-16,23.06,33,11.61
2010-05-11,23.40,2010-05-19,22.05,6,-5.79
2010-06-14,21.51,2010-07-01,18.43,13,-14.30
2010-07-22,19.00,2010-08-11,18.69,14,-1.63
2010-09-01,18.97,2010-09-23,19.34,15,1.93
2011-03-21,23.06,2011-04-13,23.03,17,-0.12
2011-06-29,23.82,2011-07-18,24.14,12,1.30
2011-08-29,19.96,2011-09-21,16.80,16,-15.84
2011-10-18,16.74,2011-11-10,17.61,17,5.23
2011-12-07,17.45,2012-02-15,20.80,47,19.26
2012-04-17,21.34,2012-05-14,21.20,19,-0.66
2012-06-08,20.78,2012-06-21,20.38,9,-1.90
2012-11-21,23.20,2012-12-12,22.64,14,-2.43
2012-12-17,23.23,2013-04-15,29.27,80,26.00
2013-06-26,27.92,2013-07-30,29.02,23,3.94
2013-08-09,29.67,2013-08-15,27.75,4,-6.47
2013-09-09,28.45,2013-11-06,31.22,42,9.72
2013-12-31,29.08,2014-01-27,29.44,17,1.26
2014-10-14,34.55,2014-11-12,35.71,21,3.35
2014-12-23,32.69,2015-02-04,31.62,28,-3.28
2015-01-26,32.32,2015-02-04,31.62,7,-2.18
2015-03-20,30.68,2015-04-07,29.30,11,-4.51
2015-05-15,28.60,2015-06-29,29.58,30,3.46
2015-06-01,27.81,2015-06-29,29.58,20,6.40
2015-07-29,29.44,2015-08-06,27.86,6,-5.37
2015-08-17,28.62,2015-08-24,25.60,5,-10.55
2015-09-11,26.42,2015-11-06,28.20,40,6.73
2015-12-16,26.73,2016-01-07,26.08,14,-2.43
2016-02-17,24.22,2016-04-21,28.74,45,18.65
2016-07-08,29.78,2016-07-27,29.53,13,-0.85
2016-10-07,30.28,2016-10-27,30.76,14,1.59
2016-11-14,31.00,2016-12-15,31.92,22,2.97
2017-03-31,33.08,2017-05-03,33.44,22,1.09
2017-11-13,36.80,2017-11-24,36.28,8,-1.41
2017-11-21,37.12,2017-11-24,36.28,2,-2.26
2018-01-23,36.92,2018-02-01,35.40,7,-4.12
2018-03-05,33.96,2018-03-22,34.08,13,0.35
2018-03-28,34.80,2018-04-19,34.00,15,-2.30
2018-08-08,37.60,2018-09-04,37.12,18,-1.28
2018-10-30,33.88,2018-12-04,33.16,24,-2.13
2018-11-30,33.80,2018-12-04,33.16,2,-1.89
2019-01-07,32.32,2019-03-25,37.16,53,14.98
2019-04-11,38.92,2019-04-15,38.48,2,-1.13
2019-04-30,38.28,2019-05-28,36.32,19,-5.12
2019-05-15,37.56,2019-05-24,36.52,7,-2.77
2019-06-06,36.76,2019-06-25,37.04,13,0.76
2019-07-09,37.71,2019-07-11,37.62,2,-0.24
2019-08-22,34.59,2019-10-08,36.58,32,5.75
2019-08-29,34.39,2019-10-08,36.58,27,6.37
2020-03-31,29.27,2020-04-21,28.30,14,-3.31
2020-05-26,29.74,2020-06-18,31.41,17,5.62
2020-07-17,29.61,2020-08-19,30.22,23,2.06
2020-09-15,30.92,2020-09-18,28.70,3,-7.18
2020-10-01,29.24,2020-10-26,26.45,17,-9.54
2020-11-09,29.88,2020-12-18,33.81,28,13.15
2021-01-13,33.52,2021-01-22,33.09,6,-1.28
2021-02-05,33.60,2021-03-22,34.93,30,3.96
2021-09-27,38.02,2021-11-02,39.13,26,2.92
2021-12-06,39.39,2021-12-14,38.82,6,-1.45
2021-12-22,39.32,2022-01-19,39.59,18,0.69
2022-02-15,39.24,2022-02-23,37.64,5,-4.08
2022-04-20,39.81,2022-04-22,38.79,2,-2.56
2022-05-27,34.73,2022-06-09,32.55,8,-6.28
2022-06-07,34.33,2022-06-09,32.55,2,-5.18
2022-07-19,29.97,2022-08-04,29.11,12,-2.87
2022-08-10,29.99,2022-08-18,30.13,6,0.47
2022-09-12,28.63,2022-09-20,26.30,6,-8.14
2022-10-25,24.10,2022-12-05,24.98,28,3.65
2023-01-11,25.52,2023-02-07,26.27,18,2.94
2023-03-31,21.38,2023-05-02,20.99,21,-1.82
2023-04-17,21.05,2023-05-02,20.99,11,-0.29
2023-05-23,20.85,2023-06-22,20.82,20,-0.14
2023-06-02,20.32,2023-06-22,20.82,13,2.46
2023-08-29,23.55,2023-09-11,22.72,8,-3.52
2023-10-17,19.83,2023-10-23,18.10,4,-8.72
2023-11-02,19.08,2023-11-09,18.46,5,-3.25
2024-02-12,23.73,2024-02-13,22.40,1,-5.60
