Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2018-10-31,37.97,2018-12-17,33.77,31,-11.06
2019-01-07,35.91,2019-04-17,50.10,70,39.52
2019-05-16,51.98,2019-06-03,47.00,11,-9.58
2019-06-10,50.99,2019-10-16,46.20,90,-9.39
2019-10-15,49.75,2019-10-16,46.20,1,-7.14
2019-10-31,48.25,2020-02-06,65.88,66,36.54
2020-02-13,72.37,2020-03-09,61.91,16,-14.45
2020-04-08,49.52,2020-07-13,78.82,65,59.17
2020-08-26,76.61,2021-09-10,109.85,262,43.39
2021-02-04,102.00,2021-02-10,91.01,4,-10.77
2021-03-15,90.25,2021-09-10,109.85,125,21.72
2021-04-01,84.58,2021-09-10,109.85,112,29.88
2021-05-26,89.63,2021-09-10,109.85,74,22.56
2021-06-10,87.71,2021-09-10,109.85,64,25.24
2021-12-27,106.27,2022-01-05,92.95,7,-12.53
2022-02-09,81.01,2022-02-18,66.85,7,-17.48
2022-03-18,70.50,2022-04-21,58.13,23,-17.55
2022-05-04,61.24,2022-05-06,54.89,2,-10.37
2022-05-17,57.30,2022-06-13,47.06,18,-17.87
