Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1979-05-23,0.10,1979-06-26,0.11,23,10.81
1979-07-26,0.11,1979-07-27,0.11,1,-2.38
1979-11-13,0.09,1979-12-12,0.10,20,5.56
1980-01-23,0.11,1980-02-01,0.10,7,-11.63
1980-02-28,0.09,1980-03-05,0.08,4,-8.57
1980-04-16,0.07,1980-06-06,0.08,36,20.00
1980-07-24,0.08,1980-08-22,0.09,21,6.25
1980-09-12,0.09,1980-09-15,0.09,1,-2.86
1980-11-26,0.09,1980-11-28,0.09,1,-8.33
1980-12-10,0.08,1980-12-11,0.08,1,-3.23
1980-12-12,0.08,1980-12-23,0.08,7,-9.38
1980-12-24,0.08,1981-01-23,0.10,20,22.58
1980-12-30,0.08,1981-01-23,0.10,17,22.58
1981-03-16,0.11,1981-04-13,0.12,20,7.14
1981-03-18,0.11,1981-04-13,0.12,18,7.14
1981-04-15,0.12,1981-04-20,0.11,2,-6.52
1981-05-15,0.11,1981-06-17,0.11,22,-2.38
1981-05-27,0.10,1981-06-17,0.11,15,5.13
1981-10-09,0.08,1982-01-05,0.07,59,-16.13
1981-12-31,0.07,1982-01-05,0.07,2,-7.14
1982-02-08,0.06,1982-02-22,0.07,9,4.17
1982-03-17,0.06,1982-05-27,0.06,50,-8.33
1982-06-18,0.05,1982-09-02,0.05,53,-5.00
1982-07-12,0.05,1982-09-02,0.05,38,-5.00
1982-10-13,0.05,1982-10-27,0.05,10,-5.00
1983-01-05,0.06,1983-01-31,0.06,18,4.35
1983-03-22,0.07,1983-03-25,0.06,3,-11.11
1983-04-11,0.07,1983-05-06,0.08,19,20.00
1983-07-22,0.08,1983-08-02,0.07,7,-12.90
1983-08-12,0.07,1983-10-13,0.09,43,25.93
1983-08-23,0.07,1983-10-13,0.09,36,25.93
1983-08-26,0.07,1983-10-13,0.09,33,25.93
1983-08-30,0.07,1983-10-13,0.09,31,25.93
1983-11-01,0.09,1983-11-02,0.09,1,-2.86
1983-12-02,0.09,1983-12-06,0.09,2,-5.56
1983-12-22,0.09,1983-12-28,0.09,3,-2.86
1984-06-19,0.13,1984-07-10,0.14,14,6.00
1984-08-07,0.14,1984-08-22,0.14,11,1.92
1984-09-20,0.13,1984-10-04,0.13,10,-2.00
1984-10-05,0.13,1984-10-17,0.13,8,-5.88
1984-11-05,0.12,1984-12-04,0.12,20,-4.35
1984-11-15,0.12,1984-12-04,0.12,12,-4.35
1984-12-12,0.12,1984-12-14,0.12,2,-4.26
1985-03-07,0.16,1985-05-01,0.16,38,-1.64
1985-03-25,0.16,1985-05-01,0.16,26,-3.23
1985-04-10,0.16,1985-05-01,0.16,15,-1.64
1985-05-16,0.16,1985-05-29,0.15,8,-4.92
1985-06-19,0.15,1985-08-05,0.19,32,22.41
1985-09-10,0.19,1985-09-16,0.18,4,-5.63
1985-10-08,0.18,1985-10-11,0.17,3,-5.80
1985-11-12,0.16,1985-11-20,0.15,6,-8.20
1985-12-13,0.15,1986-01-08,0.16,16,1.70
1986-01-14,0.16,1986-01-29,0.15,11,-6.56
1986-01-31,0.16,1986-03-05,0.17,22,4.92
1986-06-19,0.27,1986-06-23,0.26,2,-5.77
1986-08-07,0.21,1986-09-29,0.22,36,5.00
1986-08-27,0.21,1986-09-29,0.22,22,3.70
1986-09-02,0.21,1986-09-29,0.22,19,3.70
1986-12-02,0.25,1986-12-03,0.25,1,-1.04
1987-05-29,0.51,1987-06-09,0.48,7,-6.12
1987-07-09,0.49,1987-08-26,0.60,34,20.74
1987-09-11,0.62,1987-09-16,0.58,3,-6.72
1987-11-24,0.33,1988-01-07,0.36,29,7.94
