Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1962-07-06,21.86,1962-10-02,24.47,61,11.92
1963-03-11,27.87,1963-07-01,27.13,78,-2.67
1963-11-27,27.45,1964-08-14,29.26,180,6.59
1965-03-24,31.49,1965-06-10,30.53,54,-3.04
1965-07-23,30.21,1966-02-16,29.47,144,-2.46
1965-12-21,31.91,1966-01-17,30.53,18,-4.33
1966-03-15,28.83,1966-03-31,27.45,12,-4.80
1966-04-27,27.77,1966-05-16,27.23,13,-1.92
1966-07-15,26.38,1966-08-01,25.85,11,-2.02
1966-09-01,25.53,1966-11-21,27.34,55,7.08
1967-03-20,26.91,1967-03-28,26.06,5,-3.16
1967-06-30,25.32,1967-08-23,24.36,37,-3.78
1967-09-06,24.89,1967-10-02,24.04,18,-3.42
1967-11-29,22.87,1967-12-19,22.13,14,-3.26
1968-02-19,22.87,1968-03-20,21.91,21,-4.19
1968-04-03,22.34,1968-04-24,21.28,13,-4.76
1968-05-22,21.28,1969-01-13,24.26,136,14.00
1969-04-18,22.23,1969-06-03,21.60,31,-2.87
1969-07-03,21.17,1969-07-15,20.32,7,-4.02
1969-08-06,20.32,1969-09-29,19.15,37,-5.76
1969-08-18,19.89,1969-09-29,19.15,29,-3.74
1969-10-14,19.26,1969-12-04,18.62,36,-3.31
1969-12-19,18.40,1970-05-12,17.13,98,-6.94
1970-06-01,17.02,1970-06-08,15.64,5,-8.12
1970-07-27,15.00,1970-12-17,16.81,101,12.06
1971-06-30,16.91,1972-01-25,18.30,145,8.18
1971-10-06,16.91,1972-01-25,18.30,77,8.18
1972-04-20,17.23,1972-06-26,16.70,46,-3.09
1972-07-06,17.02,1972-09-21,16.60,54,-2.50
1972-10-05,16.81,1972-12-13,18.30,47,8.86
1973-01-04,17.98,1973-06-22,16.91,117,-5.92
1973-02-20,17.34,1973-06-22,16.91,86,-2.45
1973-08-24,15.85,1973-11-02,15.32,49,-3.36
1974-01-02,14.36,1974-04-23,12.77,77,-11.11
1974-04-03,14.47,1974-04-19,13.72,11,-5.15
1974-06-06,10.64,1974-06-19,9.47,9,-11.00
1974-08-05,8.51,1974-08-23,8.09,14,-5.00
1974-09-19,8.09,1974-10-30,8.40,29,3.95
1974-10-07,7.77,1974-10-30,8.40,17,8.22
1974-11-21,8.09,1974-12-04,7.55,8,-6.58
1975-01-02,7.87,1975-02-13,10.11,30,28.38
1975-04-14,9.15,1975-07-01,10.85,55,18.60
1975-08-29,10.74,1975-10-01,10.21,22,-4.95
