Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2001-04-03,7.50,2001-06-14,12.35,50,64.67
2001-10-11,8.05,2001-12-13,9.34,44,16.02
2001-10-25,8.04,2001-12-13,9.34,34,16.17
2002-06-25,12.46,2002-07-10,12.51,10,0.40
2002-08-15,9.78,2002-09-19,7.85,24,-19.73
2002-10-21,6.82,2002-12-04,9.36,31,37.24
2003-03-17,10.47,2003-03-31,9.96,10,-4.87
2003-05-28,11.29,2003-06-24,13.02,19,15.32
2003-10-09,13.29,2004-01-23,13.53,72,1.81
2003-12-12,13.07,2004-01-23,13.53,27,3.52
2004-02-26,12.18,2004-04-14,12.49,33,2.55
2004-05-11,11.02,2004-06-14,10.84,22,-1.63
2004-08-23,8.56,2004-09-03,7.67,9,-10.40
2005-01-31,8.89,2005-02-22,9.04,15,1.69
2005-05-05,8.99,2005-06-16,9.63,29,7.12
2005-09-06,10.70,2005-09-21,10.64,11,-0.56
2005-11-08,9.89,2005-12-07,10.09,20,2.02
2006-01-05,10.37,2006-01-31,10.50,17,1.25
2006-04-18,10.28,2006-05-17,10.46,21,1.75
2006-06-15,10.18,2006-06-28,9.33,9,-8.35
2006-07-27,9.11,2006-09-21,10.62,39,16.58
2006-11-15,10.57,2007-03-01,11.06,70,4.64
2007-03-21,10.99,2007-05-07,10.81,32,-1.64
2007-05-11,11.62,2007-07-05,11.75,37,1.12
2007-08-31,9.44,2007-10-15,8.54,30,-9.53
2007-10-29,8.90,2007-12-18,8.70,35,-2.25
2008-01-31,7.70,2008-03-04,6.83,22,-11.30
2008-03-24,7.22,2008-04-11,7.18,14,-0.55
2008-07-21,6.83,2008-08-01,5.89,9,-13.76
2008-08-08,6.59,2008-09-11,5.65,23,-14.26
2008-12-09,1.51,2009-01-12,2.02,22,33.77
2009-03-12,0.84,2009-06-18,2.71,68,222.62
2009-11-16,4.21,2010-01-11,5.14,37,22.09
2010-02-09,4.56,2010-02-25,4.51,11,-1.10
2010-07-09,4.41,2010-08-10,4.68,22,6.12
2010-09-03,4.25,2010-10-04,4.58,20,7.76
2011-03-24,8.55,2011-04-11,8.03,12,-6.08
2011-08-29,7.54,2011-09-30,6.38,23,-15.38
2011-10-06,7.20,2011-11-17,8.50,30,18.06
2012-03-09,9.24,2012-04-10,8.41,21,-8.98
2012-04-27,8.97,2012-05-09,8.22,8,-8.36
2012-06-06,7.87,2012-07-12,8.05,25,2.29
2012-10-18,8.15,2012-11-14,8.04,17,-1.35
2013-08-22,9.34,2013-10-03,9.92,29,6.21
2014-02-04,11.43,2014-03-11,11.97,24,4.72
2014-08-19,11.97,2014-10-10,11.01,37,-8.02
2014-10-16,11.70,2014-11-28,13.47,30,15.13
2015-01-22,12.81,2015-02-27,13.41,25,4.68
2015-07-30,14.73,2015-08-20,13.82,15,-6.18
2015-09-15,13.73,2015-09-25,12.93,8,-5.83
2015-10-05,13.73,2015-10-26,12.61,15,-8.16
2015-11-18,13.05,2015-12-11,13.19,16,1.07
2016-01-29,11.66,2016-03-28,12.84,39,10.12
2016-11-07,16.30,2016-12-01,17.40,17,6.75
2017-07-11,23.25,2017-08-04,24.65,18,6.02
2017-12-15,31.25,2018-01-31,32.55,30,4.16
2018-05-08,35.00,2018-05-18,34.20,8,-2.29
2018-07-16,35.35,2018-07-27,35.20,9,-0.42
2018-11-01,28.15,2018-12-07,26.70,24,-5.15
2018-12-28,27.47,2019-03-07,34.95,46,27.23
2019-06-10,37.19,2019-08-14,41.22,46,10.84
2020-03-26,48.28,2020-06-11,58.08,53,20.30
2020-09-15,68.98,2020-10-22,78.63,27,13.99
2021-05-20,111.16,2021-07-06,117.87,31,6.04
2022-02-01,128.44,2022-04-01,125.13,42,-2.58
2022-05-02,115.80,2022-05-09,105.50,5,-8.89
2022-05-17,112.30,2022-06-13,97.99,18,-12.74
2022-06-27,104.62,2022-07-01,88.38,4,-15.52
2022-07-15,96.31,2022-08-09,96.79,17,0.50
2022-10-28,80.89,2022-11-02,63.51,3,-21.49
2022-11-10,74.72,2023-02-21,80.72,68,8.03
2023-04-28,74.92,2023-06-21,104.64,36,39.67
2023-08-29,100.38,2023-09-15,92.00,12,-8.35
2023-10-04,94.98,2023-10-25,86.67,15,-8.75
2023-11-03,92.26,2024-01-02,114.04,39,23.61
2024-04-29,136.06,2024-06-24,131.31,38,-3.49
