Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2020-06-17,35.50,2020-07-15,39.06,19,10.03
2020-12-08,38.27,2021-02-18,41.75,48,9.09
2021-03-22,36.78,2021-05-12,33.03,36,-10.20
2021-06-14,34.49,2021-08-06,32.58,38,-5.54
2021-10-13,22.44,2021-12-03,27.10,36,20.77
2022-02-09,26.39,2022-04-20,33.99,48,28.80
2022-10-11,34.30,2022-10-14,31.64,3,-7.76
2023-03-21,27.54,2023-08-08,33.14,96,20.33
2023-10-30,27.75,2024-01-18,25.87,54,-6.77
2024-02-09,25.55,2024-04-03,26.59,36,4.07
2024-06-24,21.96,2024-07-23,19.50,20,-11.20
2024-07-30,21.07,2024-08-05,18.28,4,-13.24
