Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2001-08-24,10.01,2001-09-18,9.00,12,-10.04
2001-10-11,8.61,2002-01-08,10.12,60,17.60
2002-06-17,12.00,2002-07-02,10.50,11,-12.50
2002-07-31,10.17,2002-10-09,9.00,49,-11.50
2003-07-09,21.72,2003-08-04,18.58,18,-14.46
2003-08-21,19.58,2003-12-09,26.34,76,34.52
2004-03-25,22.18,2004-04-26,19.33,21,-12.87
2004-05-21,16.30,2004-12-07,27.42,137,68.19
2005-01-31,27.50,2005-03-15,24.00,30,-12.73
2005-05-10,21.30,2005-09-26,30.81,96,44.65
2005-11-17,29.50,2006-05-17,43.90,123,48.79
2007-02-02,51.15,2007-08-16,89.74,135,75.44
2007-11-26,96.71,2008-01-08,80.20,29,-17.07
2008-01-31,72.15,2008-03-10,53.10,26,-26.40
2008-02-08,66.81,2008-02-21,62.72,8,-6.12
2008-03-18,61.09,2008-04-03,52.81,11,-13.55
2008-04-28,47.41,2008-04-30,40.90,2,-13.73
2008-05-14,44.79,2008-07-30,35.19,53,-21.43
2008-09-17,34.94,2008-10-03,28.72,12,-17.80
2008-12-08,18.47,2009-08-14,28.72,172,55.50
2009-02-26,17.10,2009-08-14,28.72,118,67.95
2009-11-17,32.33,2010-01-26,33.15,46,2.54
2010-06-10,33.16,2010-06-28,30.60,12,-7.72
2010-07-23,30.71,2010-08-11,27.96,13,-8.95
2010-09-03,28.40,2012-03-16,46.89,386,65.11
2010-12-01,29.90,2012-03-16,46.89,325,56.82
2011-06-17,33.66,2011-06-28,31.92,7,-5.17
2011-07-01,33.58,2011-08-03,30.86,22,-8.10
2011-08-16,32.23,2012-03-16,46.89,147,45.49
2012-04-25,45.67,2012-05-18,42.98,17,-5.89
2012-07-03,38.64,2012-07-12,36.06,6,-6.68
2012-07-18,37.29,2013-02-20,35.54,147,-4.69
2012-11-20,38.12,2013-02-20,35.54,61,-6.77
2013-02-13,38.56,2013-02-20,35.54,4,-7.83
2013-04-02,34.25,2013-10-31,46.75,149,36.50
2014-01-14,46.31,2014-02-03,43.63,13,-5.79
2014-08-15,56.07,2014-09-03,53.56,12,-4.48
2014-10-15,51.86,2015-03-13,48.00,102,-7.44
2015-01-16,52.83,2015-02-20,49.42,23,-6.45
2015-03-20,49.49,2015-04-01,47.07,8,-4.89
2015-04-15,47.63,2015-06-15,44.21,42,-7.18
2015-07-13,46.37,2015-07-20,42.51,5,-8.32
2015-10-05,36.64,2015-10-15,32.28,8,-11.90
2015-11-02,35.93,2016-03-09,39.27,87,9.30
2015-12-23,36.88,2016-01-08,33.55,10,-9.03
2016-01-29,35.18,2016-03-09,39.27,27,11.63
2016-06-30,42.42,2016-08-22,53.16,36,25.32
2016-09-22,48.68,2017-12-04,60.85,302,25.00
2017-04-24,50.29,2017-12-04,60.85,156,21.00
2018-04-05,59.65,2019-03-22,83.58,242,40.12
2018-10-31,66.16,2019-03-22,83.58,96,26.33
2019-01-04,63.72,2019-03-22,83.58,53,31.17
2019-06-04,78.29,2019-08-02,75.69,42,-3.32
2019-08-09,79.04,2019-12-04,96.25,81,21.77
2020-04-06,75.44,2020-06-26,94.86,57,25.74
2020-10-07,96.92,2020-12-14,117.21,47,20.93
2021-02-08,124.14,2021-02-25,124.34,12,0.16
2021-10-18,159.40,2021-10-27,146.21,7,-8.27
2021-12-27,135.94,2022-01-20,123.29,17,-9.31
2022-02-08,126.36,2022-02-17,113.32,7,-10.32
2022-03-16,111.93,2022-05-06,106.03,36,-5.27
2022-05-27,105.54,2022-06-14,96.72,11,-8.36
2022-07-05,99.95,2022-08-26,91.45,38,-8.50
2022-10-17,81.78,2024-01-03,124.15,304,51.81
2023-08-28,104.68,2023-10-27,99.71,43,-4.75
2023-11-01,113.53,2024-01-03,124.15,42,9.35
2024-02-12,123.62,2024-04-02,145.74,34,17.89
