Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2011-09-15,20.84,2012-10-08,31.32,268,50.29
2011-10-12,20.32,2012-10-08,31.32,249,54.13
2011-12-30,22.03,2012-10-08,31.32,194,42.17
2012-04-02,25.98,2012-10-08,31.32,131,20.55
2012-05-29,26.35,2012-10-08,31.32,92,18.86
2012-06-06,25.77,2012-10-08,31.32,86,21.54
2012-08-08,27.25,2012-10-08,31.32,42,14.94
2012-11-05,32.23,2013-02-11,36.66,66,13.74
2013-01-04,31.94,2013-02-11,36.66,25,14.78
2013-04-26,38.25,2013-07-03,35.49,47,-7.22
2013-06-07,39.60,2013-06-24,36.60,11,-7.58
2013-07-12,37.62,2017-03-10,85.75,922,127.94
2013-11-26,45.48,2017-03-10,85.75,826,88.54
2014-03-19,49.95,2017-03-10,85.75,750,71.67
2014-10-20,70.46,2017-03-10,85.75,601,21.70
2014-11-21,68.47,2017-03-10,85.75,577,25.24
2015-01-26,73.00,2015-10-22,66.08,188,-9.48
2015-02-20,69.79,2015-10-22,66.08,170,-5.32
2015-05-08,76.90,2015-10-15,72.21,111,-6.10
2015-09-17,86.02,2017-03-10,85.75,372,-0.31
2015-11-17,69.25,2016-01-19,63.47,41,-8.35
2015-11-24,68.99,2015-12-17,64.74,16,-6.16
2015-12-21,67.61,2016-01-19,63.47,18,-6.12
2016-01-11,67.83,2016-01-19,63.47,5,-6.43
2016-01-26,66.96,2017-03-10,85.75,283,28.06
2016-06-01,78.37,2016-06-27,74.43,18,-5.03
2016-07-08,78.21,2016-11-03,73.41,83,-6.14
2016-08-30,76.12,2016-11-09,72.16,50,-5.20
2016-11-07,79.62,2016-11-09,72.16,2,-9.37
2016-12-07,71.96,2017-03-10,85.75,63,19.16
2017-05-10,85.56,2017-05-18,81.26,6,-5.03
2017-06-01,83.75,2017-07-27,79.96,39,-4.53
2017-08-23,78.90,2017-09-07,76.37,10,-3.21
2017-08-31,78.66,2017-09-07,76.37,4,-2.91
2017-09-11,78.35,2017-10-09,75.31,20,-3.88
2017-09-22,78.22,2017-10-09,75.31,11,-3.72
2017-10-18,77.45,2018-09-12,131.50,226,69.79
2017-11-22,77.07,2018-09-12,131.50,201,70.62
2018-04-17,97.71,2018-09-12,131.50,103,34.58
2018-10-30,135.21,2018-12-17,123.12,32,-8.94
2019-01-08,126.19,2019-04-16,114.38,68,-9.36
2019-03-19,136.62,2019-04-16,114.38,20,-16.28
2019-04-01,131.98,2019-04-15,127.09,10,-3.71
2019-04-30,127.23,2020-03-12,101.51,219,-20.22
2019-09-05,124.25,2019-10-02,115.09,19,-7.37
2019-10-15,121.51,2020-03-11,112.59,101,-7.34
2020-02-05,151.04,2020-02-25,133.00,13,-11.94
2020-04-06,93.58,2021-08-10,240.66,339,157.17
2020-07-14,98.96,2021-08-10,240.66,271,143.19
2020-10-05,130.17,2021-08-10,240.66,213,84.88
2020-11-03,136.09,2021-08-10,240.66,192,76.84
2021-02-03,173.12,2021-08-10,240.66,130,39.01
2021-07-01,211.83,2021-08-10,240.66,27,13.61
2021-10-19,248.68,2021-11-26,231.00,27,-7.11
2021-12-07,238.60,2022-04-22,210.64,94,-11.72
2022-02-09,243.42,2022-04-22,210.64,50,-13.47
2022-04-08,258.69,2022-04-22,210.64,9,-18.57
2022-05-27,215.55,2022-06-10,196.72,9,-8.74
