Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2000-09-05,7.06,2000-09-22,5.19,13,-26.55
2000-10-30,2.44,2000-11-16,1.25,13,-48.72
2000-12-20,1.19,2001-02-15,1.28,38,7.89
2001-04-20,0.43,2001-05-22,0.24,22,-44.19
2001-05-30,0.36,2001-06-04,0.29,3,-19.44
2001-09-20,0.12,2001-11-06,0.32,33,166.67
2001-12-31,0.33,2002-02-08,0.38,27,15.15
2002-07-10,0.73,2002-07-24,0.70,10,-4.11
2002-08-28,0.46,2002-09-23,0.48,17,4.35
2003-03-07,0.81,2003-03-24,0.78,11,-3.70
2004-01-02,5.30,2004-01-13,5.17,7,-2.45
2004-02-26,4.55,2004-03-08,4.30,7,-5.49
2004-03-24,5.44,2004-04-16,5.18,16,-4.78
2004-06-03,3.48,2004-07-06,2.82,21,-18.97
2004-06-17,3.48,2004-07-06,2.82,12,-18.97
2004-07-30,2.52,2004-08-05,2.41,4,-4.37
2004-08-11,2.45,2004-09-28,3.21,33,31.02
2004-11-17,2.78,2005-01-05,2.94,33,5.76
2005-03-01,2.62,2005-03-22,2.57,15,-1.91
2005-05-02,2.48,2005-05-10,2.33,6,-6.05
2006-06-16,5.17,2006-06-27,4.92,7,-4.84
2006-07-26,4.40,2006-08-07,3.71,8,-15.68
2006-08-03,4.25,2006-08-07,3.71,2,-12.71
2006-08-15,4.22,2006-09-27,5.20,30,23.22
2006-11-06,5.82,2006-11-08,5.62,2,-3.44
2006-12-18,4.86,2007-02-27,6.00,46,23.46
2007-06-04,6.53,2007-06-20,6.52,12,-0.15
2007-07-23,5.55,2007-07-26,5.05,3,-9.01
2007-08-01,5.60,2007-08-03,5.20,2,-7.14
2007-12-18,5.36,2007-12-28,5.28,7,-1.49
2008-03-24,3.14,2008-04-28,3.47,25,10.51
2008-05-23,2.92,2008-06-17,3.01,16,3.08
2008-06-26,3.22,2008-06-27,3.04,1,-5.59
2008-07-21,2.78,2008-08-07,2.67,13,-3.96
2008-11-17,1.90,2008-12-01,1.33,9,-30.00
2008-12-18,1.54,2009-01-14,1.72,17,11.69
2009-03-16,1.89,2009-05-27,2.95,50,56.08
2010-02-11,6.50,2010-03-26,7.54,30,16.00
2010-06-03,6.80,2010-06-29,6.97,18,2.50
2010-07-20,6.92,2010-08-10,6.87,15,-0.72
2011-03-08,11.04,2011-03-17,10.47,7,-5.16
2011-05-27,11.19,2011-07-12,12.90,30,15.28
2011-08-15,12.19,2011-09-22,11.05,27,-9.35
2011-08-29,11.30,2011-09-22,11.05,17,-2.21
2011-10-12,10.68,2011-11-16,12.55,25,17.51
2011-11-30,12.57,2011-12-28,12.63,19,0.48
2012-05-10,16.03,2012-06-20,17.37,28,8.36
2012-08-29,16.48,2012-09-26,17.62,19,6.92
2012-12-18,13.07,2013-01-22,13.43,22,2.75
2013-04-11,13.75,2013-04-18,12.89,5,-6.25
2013-06-06,9.20,2013-07-31,9.24,38,0.43
2013-06-21,9.31,2013-07-31,9.24,27,-0.75
2013-09-13,9.56,2013-09-27,9.41,10,-1.57
2013-10-17,9.56,2013-10-30,9.37,9,-1.99
2013-11-07,11.17,2013-12-09,11.75,21,5.19
2014-02-21,13.35,2014-02-28,13.08,5,-2.02
2014-05-19,9.89,2014-07-14,9.82,38,-0.71
2014-06-23,9.43,2014-07-14,9.82,14,4.14
2015-02-17,10.85,2015-03-10,11.04,15,1.75
2015-05-26,10.16,2015-06-26,9.97,23,-1.87
2015-08-28,9.07,2015-09-28,7.83,20,-13.67
2015-10-09,8.10,2015-10-26,7.24,11,-10.62
2015-11-03,8.07,2015-12-04,7.47,22,-7.43
2015-11-27,7.72,2015-12-04,7.47,5,-3.24
2016-02-26,4.96,2016-05-03,6.01,46,21.17
2016-07-07,6.96,2016-07-28,6.53,15,-6.18
2016-12-06,8.30,2016-12-09,8.30,3,0.00
2017-01-12,7.70,2017-01-26,7.45,9,-3.25
2017-02-24,7.05,2017-03-03,6.95,5,-1.42
2017-12-06,11.20,2018-01-22,11.80,30,5.36
2017-12-08,11.15,2018-01-22,11.80,28,5.83
2017-12-14,11.80,2018-01-22,11.80,24,0.00
2018-02-14,11.85,2018-03-22,15.10,25,27.43
2018-10-30,22.10,2018-11-06,21.62,5,-2.17
2018-12-06,19.63,2019-03-06,26.33,60,34.13
2018-12-31,18.86,2019-03-06,26.33,44,39.61
2019-06-19,28.64,2019-06-24,27.41,3,-4.29
2019-10-04,36.87,2019-10-18,36.54,10,-0.90
2019-11-26,39.05,2019-12-02,37.93,3,-2.87
2020-03-25,21.85,2020-06-03,35.77,48,63.71
2020-09-28,52.92,2020-10-26,56.63,20,7.01
2021-03-01,67.96,2021-03-04,54.83,3,-19.32
2021-04-01,55.19,2021-04-20,53.65,12,-2.79
2021-05-20,53.36,2021-07-07,61.10,32,14.51
2021-07-20,62.92,2021-08-10,61.60,15,-2.10
