Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1988-12-19,6.28,1988-12-27,5.62,5,-10.45
1989-01-03,6.00,1989-01-10,5.34,5,-10.94
1989-02-03,5.16,1989-03-01,3.56,17,-30.91
1989-03-15,4.31,1989-03-29,2.62,9,-39.13
1989-04-25,2.25,1989-06-22,3.00,41,33.33
1989-10-12,2.91,1989-12-22,2.53,50,-12.90
1990-03-05,1.78,1990-06-01,2.34,62,31.58
1991-01-10,3.38,1991-03-27,5.44,53,61.11
1991-06-28,6.47,1991-09-13,6.66,53,2.90
1992-01-29,5.16,1992-02-03,4.12,3,-20.00
1992-02-19,4.69,1992-06-17,3.94,83,-16.00
1992-04-23,4.12,1992-06-17,3.94,38,-4.55
1992-10-19,1.50,1992-12-15,1.88,40,25.00
1992-10-21,1.50,1992-12-15,1.88,38,25.00
1992-11-25,1.50,1992-12-15,1.88,13,25.00
1993-03-24,1.41,1993-06-23,1.12,63,-20.00
1993-04-26,1.41,1993-06-23,1.12,41,-20.00
1993-11-08,0.70,1993-12-29,0.84,35,20.00
1994-06-24,0.94,1994-07-18,0.75,15,-20.00
1994-07-21,0.84,1995-02-23,1.03,150,22.22
1994-10-27,0.84,1995-02-23,1.03,81,22.22
1995-10-18,1.31,1995-12-11,1.03,37,-21.43
1995-12-13,1.12,1996-02-15,1.31,44,16.67
1997-02-04,1.62,1997-02-11,1.47,5,-9.62
1997-02-25,1.53,1997-03-13,1.41,12,-8.16
1997-05-21,1.22,1997-08-19,2.94,62,141.03
1997-12-12,3.12,1997-12-26,3.00,9,-4.00
1998-05-04,4.81,1998-05-19,4.19,11,-12.99
1998-06-11,4.25,1998-07-09,4.33,19,1.84
1998-09-18,3.42,1998-10-07,2.88,13,-15.98
1998-10-21,3.39,1999-02-05,3.72,73,9.68
1999-03-25,3.05,1999-08-04,2.97,91,-2.56
1999-07-13,2.78,1999-08-04,2.97,16,6.74
1999-08-23,2.98,1999-09-20,3.19,19,6.81
1999-11-04,2.66,2000-01-11,2.34,46,-11.76
1999-11-16,2.69,2000-01-04,2.44,33,-9.30
2000-01-25,2.50,2000-08-30,3.86,152,54.37
2000-04-10,2.75,2000-08-30,3.86,99,40.34
2000-12-07,7.03,2001-01-16,9.05,25,28.67
2001-04-12,8.12,2001-05-21,11.16,26,37.38
2001-10-10,9.35,2002-01-04,11.77,59,25.94
2002-08-08,15.89,2003-05-19,19.66,195,23.69
2002-10-15,17.86,2003-05-19,19.66,148,10.05
2003-03-13,16.00,2003-05-19,19.66,46,22.84
2003-08-12,22.76,2003-08-14,21.34,2,-6.22
2003-08-19,22.27,2003-12-10,30.88,79,38.61
2004-05-05,34.92,2004-05-07,31.15,2,-10.78
2004-05-24,32.67,2004-10-05,37.38,92,14.40
2004-08-10,32.18,2004-10-05,37.38,39,16.14
2005-04-08,60.86,2005-08-05,87.02,83,42.98
2005-09-01,78.94,2005-09-28,72.85,18,-7.71
2005-11-02,66.48,2005-11-08,58.27,4,-12.35
2006-02-16,59.26,2006-03-07,54.44,12,-8.13
2006-03-17,59.02,2006-05-11,62.60,38,6.07
2006-06-29,48.45,2006-07-10,44.95,6,-7.22
2006-08-03,41.21,2006-10-31,45.78,62,11.09
