Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1996-11-26,10.62,1996-12-23,9.25,18,-12.94
1996-12-27,10.12,1997-03-31,9.00,63,-11.11
1997-02-04,10.75,1997-03-31,9.00,37,-16.28
1997-05-05,8.50,1998-08-03,6.94,314,-18.38
1997-07-24,9.81,1997-08-18,8.25,17,-15.92
1997-08-07,9.12,1997-08-18,8.25,7,-9.59
1997-09-15,9.50,1997-12-12,7.62,63,-19.74
1997-11-19,9.38,1997-12-12,7.62,16,-18.67
1998-01-02,8.31,1998-07-02,7.44,125,-10.53
1998-02-17,8.88,1998-04-27,7.56,48,-14.79
1998-03-31,8.12,1998-05-04,7.50,23,-7.69
1998-04-17,8.25,1998-04-27,7.56,6,-8.33
1998-05-06,8.12,1998-07-13,7.25,46,-10.77
1998-07-10,8.00,1998-07-13,7.25,1,-9.38
1998-07-17,7.88,1998-07-31,7.00,10,-11.11
1998-09-11,5.50,1999-07-22,3.94,216,-28.41
1998-10-08,5.88,1999-04-20,4.31,132,-26.60
1999-02-19,6.50,1999-02-24,5.62,3,-13.46
1999-03-15,6.31,1999-04-13,4.81,20,-23.76
1999-05-06,4.62,1999-07-22,3.94,53,-14.86
1999-08-11,4.47,2000-01-28,24.50,118,448.25
2000-04-28,21.25,2003-06-19,50.03,787,135.44
2000-08-09,35.88,2000-11-30,29.06,79,-18.99
2000-10-23,39.19,2000-11-29,30.61,26,-21.89
2000-10-26,38.50,2000-11-21,33.12,18,-13.96
2000-12-18,31.75,2001-01-05,24.94,12,-21.46
2000-12-22,32.12,2001-01-05,24.94,8,-22.37
2001-01-16,35.56,2001-02-20,23.12,24,-34.97
2001-03-26,18.62,2003-06-19,50.03,559,168.62
2001-08-14,34.50,2001-09-18,30.60,20,-11.30
2001-10-03,34.10,2002-06-06,27.82,169,-18.42
2002-03-06,37.41,2002-05-06,29.79,42,-20.37
2002-05-15,35.35,2002-06-06,27.82,15,-21.30
2002-06-27,28.20,2003-06-19,50.03,246,77.41
2002-07-12,27.43,2003-06-19,50.03,236,82.39
2002-12-23,46.86,2003-02-03,40.71,27,-13.12
2003-02-18,42.64,2003-06-19,50.03,85,17.33
2003-03-13,42.00,2003-06-19,50.03,68,19.12
2003-08-18,51.78,2003-10-17,47.13,43,-8.98
2003-11-07,48.51,2004-05-03,63.16,120,30.20
2004-02-27,55.60,2004-05-03,63.16,45,13.60
2004-06-01,57.40,2004-06-09,53.42,6,-6.93
2004-06-07,56.54,2004-06-09,53.42,2,-5.52
2004-07-15,51.69,2004-07-21,45.72,4,-11.55
2004-08-16,45.65,2005-02-10,39.45,124,-13.58
2004-10-18,47.16,2004-10-22,44.28,4,-6.11
2004-10-28,46.85,2005-02-08,42.77,70,-8.71
2004-12-13,48.68,2005-01-13,44.40,22,-8.79
2005-03-18,40.87,2005-04-18,36.18,20,-11.48
2005-05-09,36.58,2005-08-04,48.28,61,31.98
2005-09-30,49.19,2005-10-11,44.53,7,-9.47
2005-10-24,48.98,2006-01-11,62.96,54,28.54
2006-02-07,61.08,2006-04-28,57.36,56,-6.09
2006-04-24,62.62,2006-04-26,57.76,2,-7.76
2006-08-14,9.15,2006-11-03,7.72,58,-15.63
2006-11-20,10.18,2007-02-09,13.03,54,28.00
2007-03-23,12.85,2007-07-30,10.06,88,-21.71
2007-06-01,12.37,2007-07-27,10.70,39,-13.50
2007-07-09,12.24,2007-07-27,10.70,14,-12.58
2007-08-22,10.30,2007-10-30,9.12,48,-11.46
2007-10-10,10.50,2007-10-29,9.37,13,-10.76
2007-11-06,10.40,2007-12-13,5.25,26,-49.52
2007-11-23,10.06,2007-12-13,5.25,14,-47.81
2008-01-10,5.20,2008-10-07,3.96,187,-23.85
2008-02-27,5.12,2008-06-09,4.50,71,-12.11
2008-05-29,5.00,2008-06-10,4.40,8,-12.00
2008-06-17,4.85,2008-10-07,3.96,78,-18.35
2008-08-20,5.18,2008-10-06,4.26,32,-17.76
2008-10-29,3.91,2008-11-21,2.22,17,-43.22
2008-12-08,3.30,2009-11-03,2.07,228,-37.27
2009-03-10,3.51,2009-05-13,3.01,45,-14.25
2009-05-04,3.51,2009-05-13,3.01,7,-14.25
2009-05-18,3.27,2009-05-21,2.87,3,-12.23
2009-06-01,3.21,2009-10-02,2.82,87,-12.15
2009-07-10,3.26,2009-10-01,2.92,58,-10.43
