Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1999-10-13,0.05,1999-12-07,0.08,38,72.65
2000-02-10,0.10,2000-03-27,0.18,31,76.78
2000-08-07,0.29,2000-09-06,0.31,21,7.82
2000-10-20,0.29,2000-11-09,0.26,14,-10.68
2000-11-02,0.28,2000-11-09,0.26,5,-7.01
2001-01-03,0.16,2001-02-02,0.20,21,19.81
2001-07-27,0.34,2001-08-17,0.35,15,3.42
2001-10-05,0.27,2002-01-10,0.55,66,100.58
2002-03-04,0.49,2002-03-20,0.39,12,-21.23
2002-05-08,0.30,2002-06-12,0.23,24,-22.36
2002-05-14,0.31,2002-06-03,0.26,13,-15.28
2002-07-15,0.18,2002-07-25,0.13,8,-31.20
2002-08-19,0.11,2002-10-04,0.07,33,-35.65
2002-09-11,0.09,2002-09-23,0.07,8,-20.56
2002-10-11,0.07,2002-11-08,0.09,20,28.94
2003-01-06,0.11,2003-01-16,0.09,8,-16.08
2003-02-14,0.10,2003-03-31,0.11,30,6.98
2003-08-21,0.15,2003-09-22,0.16,21,5.13
2003-10-15,0.14,2003-12-09,0.16,38,14.83
2004-03-16,0.18,2004-04-15,0.20,21,12.75
2004-05-25,0.18,2004-06-09,0.18,10,-4.72
2004-06-29,0.17,2004-07-02,0.16,3,-7.27
2004-08-02,0.13,2004-08-06,0.08,4,-39.63
2004-08-20,0.10,2004-09-29,0.12,27,16.11
2005-01-27,0.19,2005-03-08,0.22,27,15.41
2005-05-05,0.19,2005-06-14,0.22,27,17.72
2005-08-02,0.23,2005-10-06,0.28,46,20.29
2006-06-29,0.36,2006-07-10,0.31,6,-13.77
2006-07-24,0.33,2006-10-02,0.48,49,47.44
2007-02-06,0.56,2007-03-02,0.50,17,-11.19
2007-03-22,0.51,2007-05-24,0.55,44,8.19
2007-04-05,0.51,2007-05-24,0.55,34,7.25
2007-11-28,0.82,2007-12-31,0.85,22,3.56
2008-02-01,0.67,2008-02-15,0.56,10,-17.09
2008-03-24,0.50,2008-06-10,0.56,55,11.28
2008-04-21,0.50,2008-06-10,0.56,35,12.18
2008-08-06,0.29,2008-09-02,0.31,18,7.22
2008-08-11,0.28,2008-09-02,0.31,15,9.71
2008-08-13,0.31,2008-09-02,0.31,13,0.49
2008-09-24,0.28,2008-10-06,0.20,8,-30.22
2008-10-28,0.20,2008-11-20,0.15,17,-26.43
2008-11-26,0.19,2008-12-23,0.20,18,3.94
2009-05-26,0.26,2009-06-22,0.26,19,1.93
2009-07-15,0.28,2009-08-17,0.32,23,15.34
2009-11-06,0.33,2010-01-13,0.45,45,36.09
2010-02-11,0.43,2010-02-18,0.42,4,-2.63
2010-06-17,0.31,2010-06-29,0.26,8,-14.24
2010-07-22,0.26,2010-07-29,0.23,5,-13.38
2010-08-19,0.25,2010-10-06,0.27,33,9.11
2011-03-24,0.48,2011-05-13,0.46,35,-5.04
2011-04-07,0.45,2011-05-13,0.46,25,0.88
2011-04-14,0.46,2011-05-13,0.46,20,-1.35
