Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2013-03-07,12.90,2013-07-16,15.80,90,22.48
2013-03-21,12.39,2013-04-17,10.94,18,-11.70
2013-04-11,11.97,2013-04-17,10.94,4,-8.60
2013-05-09,11.37,2013-07-16,15.80,46,38.96
2014-05-06,20.90,2014-06-04,22.31,20,6.75
2015-05-29,40.72,2015-06-24,42.97,18,5.53
2015-07-23,39.03,2015-08-06,33.25,10,-14.81
2015-09-09,30.50,2015-12-09,37.76,64,23.80
2015-10-07,31.06,2015-12-09,37.76,44,21.57
2016-02-24,23.94,2016-06-17,30.59,80,27.78
2016-07-11,31.35,2016-10-13,37.45,67,19.46
2016-12-19,33.45,2017-02-09,35.00,35,4.63
2017-01-04,32.95,2017-02-09,35.00,25,6.22
2018-02-13,67.30,2018-03-16,74.45,22,10.62
2018-05-29,76.70,2018-06-27,83.45,21,8.80
2018-08-22,87.30,2018-09-17,90.40,17,3.55
2018-10-30,76.23,2018-11-19,69.21,14,-9.21
2018-11-02,74.83,2018-11-19,69.21,11,-7.51
2018-11-26,74.43,2018-12-17,71.26,14,-4.26
2019-01-08,76.68,2019-02-13,82.31,25,7.34
2019-06-10,88.73,2019-07-31,86.56,36,-2.45
2019-09-17,81.03,2019-09-24,73.98,5,-8.70
2019-10-03,78.99,2019-12-02,84.41,41,6.86
2019-10-11,77.70,2019-12-02,84.41,35,8.64
2020-03-19,78.84,2020-05-01,99.86,30,26.66
2020-07-01,104.01,2020-08-10,112.87,27,8.52
2020-09-02,110.99,2020-09-04,100.27,2,-9.66
2020-09-28,100.51,2020-10-30,87.85,24,-12.60
2020-11-24,91.28,2021-01-13,116.89,33,28.06
2021-03-11,100.72,2021-06-25,101.54,74,0.81
2021-05-24,99.66,2021-06-25,101.54,23,1.89
2021-07-29,102.40,2021-09-20,115.27,36,12.57
2021-10-13,114.14,2021-11-22,131.95,28,15.60
2022-01-31,128.14,2022-02-11,115.37,9,-9.97
2022-02-28,125.31,2022-04-21,142.34,37,13.59
2022-05-25,125.38,2022-06-10,124.94,11,-0.35
2022-06-23,130.85,2022-06-30,126.14,5,-3.60
2022-08-03,128.88,2022-09-01,147.76,21,14.65
2022-10-25,139.07,2022-11-03,112.38,7,-19.19
2022-11-25,125.31,2023-01-05,101.86,27,-18.71
2023-01-20,109.19,2023-02-16,116.78,19,6.95
2023-05-15,117.30,2023-06-21,125.70,25,7.16
2024-01-18,197.76,2024-01-26,188.79,6,-4.54
2024-02-29,171.86,2024-04-30,163.91,42,-4.63
2024-04-09,167.39,2024-04-15,162.05,4,-3.19
2024-04-22,168.44,2024-04-30,163.91,6,-2.69
2024-06-21,139.21,2024-07-24,141.73,22,1.81
