Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2015-12-17,2.65,2016-01-11,2.39,15,-10.03
2016-01-29,2.32,2016-05-03,3.07,65,32.39
2016-02-17,2.24,2016-05-03,3.07,53,37.42
2016-05-25,2.82,2016-09-09,4.10,74,45.53
2017-10-24,10.64,2018-02-05,11.83,70,11.17
2018-04-18,12.76,2018-06-25,15.32,47,20.11
2018-08-27,14.40,2018-10-04,14.89,27,3.38
2018-10-31,13.81,2018-12-24,11.91,36,-13.79
2019-10-04,32.72,2019-11-07,28.58,24,-12.67
2020-03-24,43.00,2020-06-04,73.52,50,70.97
2021-04-01,115.54,2021-07-14,146.30,71,26.62
2021-10-13,139.90,2021-11-29,156.70,32,12.01
2021-12-23,143.93,2022-01-04,122.19,7,-15.11
2022-03-16,62.24,2022-04-21,48.10,25,-22.72
2022-05-31,37.51,2022-06-14,30.35,10,-19.08
2023-08-29,58.80,2023-09-18,59.50,13,1.19
2023-10-17,54.17,2023-10-25,48.49,6,-10.49
2023-11-02,59.70,2024-01-02,73.83,40,23.67
2024-04-23,74.01,2024-05-08,62.73,11,-15.24
2024-06-04,60.68,2024-08-02,54.43,41,-10.30
