Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1997-12-23,45.00,1998-01-08,39.38,10,-12.50
1998-01-05,42.75,1998-01-08,39.38,3,-7.89
1998-01-22,43.50,1998-02-11,36.00,14,-17.24
1998-02-17,40.50,1998-03-10,42.19,15,4.17
1998-08-18,28.50,1998-09-09,19.88,15,-30.26
1998-08-28,26.25,1998-09-04,21.00,5,-20.00
1998-09-23,21.75,1998-11-25,24.00,45,10.34
1998-10-06,19.50,1998-11-25,24.00,36,23.08
1998-10-22,19.50,1998-11-25,24.00,24,23.08
1999-01-11,24.00,1999-02-09,20.25,20,-15.62
1999-03-26,18.00,1999-04-27,21.00,21,16.67
1999-06-29,20.62,1999-07-12,20.62,8,0.00
1999-09-07,20.25,1999-09-30,20.44,17,0.93
1999-10-11,22.50,1999-12-03,38.62,38,71.67
2000-04-10,87.00,2000-04-14,53.25,4,-38.79
2000-05-15,55.88,2000-06-19,65.25,24,16.78
2000-05-30,58.50,2000-06-19,65.25,14,11.54
2000-08-22,42.75,2000-09-15,50.62,17,18.42
2000-10-31,37.50,2000-11-10,38.62,8,3.00
2000-11-27,40.12,2000-12-19,34.12,16,-14.95
2001-01-11,33.00,2001-02-09,35.62,20,7.95
2001-04-05,24.56,2001-06-19,49.14,51,100.06
2001-09-24,48.60,2001-11-16,49.50,39,1.85
2002-03-12,63.24,2002-03-19,60.30,5,-4.65
2002-05-01,45.24,2002-05-08,37.44,5,-17.24
2002-07-18,19.08,2002-08-02,19.32,11,1.26
2002-11-19,32.28,2002-12-04,32.16,10,-0.37
2002-12-24,31.14,2003-01-22,30.78,18,-1.16
2003-03-19,17.94,2003-05-29,32.76,49,82.61
2003-08-25,29.58,2003-09-25,32.34,22,9.33
2003-10-27,31.02,2003-11-10,27.72,10,-10.64
2003-11-14,29.94,2003-12-04,27.18,13,-9.22
2004-01-07,25.32,2004-01-22,26.04,10,2.84
2004-03-04,22.74,2004-03-10,18.42,4,-19.00
2004-04-01,20.70,2004-04-15,18.54,9,-10.43
2004-06-02,14.10,2004-06-21,12.24,12,-13.19
2004-06-07,14.04,2004-06-14,13.26,4,-5.56
2004-06-24,14.64,2004-07-06,12.90,7,-11.89
2004-08-17,11.28,2004-09-09,13.44,16,19.15
2004-10-06,13.92,2004-10-08,12.96,2,-6.90
2005-01-19,24.84,2005-02-07,15.06,13,-39.37
2005-06-06,14.46,2005-06-23,13.92,13,-3.73
2005-07-11,14.58,2005-07-22,14.04,9,-3.70
2005-09-01,13.32,2005-09-14,13.20,8,-0.90
2006-03-30,45.78,2006-04-10,41.58,7,-9.17
2006-05-08,40.32,2006-05-10,29.40,2,-27.08
2006-08-03,18.78,2006-09-08,21.24,25,13.10
2006-08-17,17.94,2006-09-08,21.24,15,18.39
2006-10-05,21.36,2006-10-31,23.28,18,8.99
2007-01-30,18.84,2007-02-27,16.44,19,-12.74
2007-02-12,18.06,2007-02-15,16.98,3,-5.98
2007-03-14,16.20,2007-03-20,14.16,4,-12.59
2007-03-30,16.08,2007-04-23,16.56,15,2.99
2007-08-09,16.86,2007-08-16,15.12,5,-10.32
2007-08-29,15.84,2007-09-24,15.54,17,-1.89
2007-11-14,16.62,2007-11-21,14.28,5,-14.08
2008-01-10,9.06,2008-01-23,7.74,8,-14.57
2008-02-11,7.80,2008-03-03,7.50,14,-3.85
2008-05-09,9.30,2008-05-21,8.58,8,-7.74
2008-07-11,7.56,2008-09-17,5.88,47,-22.22
2008-09-08,7.14,2008-09-15,6.54,5,-8.40
2008-09-25,6.72,2008-10-01,6.60,4,-1.79
2008-10-14,6.66,2008-10-23,4.32,7,-35.14
2008-11-03,6.06,2008-11-12,5.22,7,-13.86
2008-12-24,4.02,2009-01-30,5.22,24,29.85
2009-03-16,4.08,2009-05-04,4.56,34,11.76
2009-09-01,12.48,2009-09-24,10.08,16,-19.23
2009-11-16,9.66,2009-12-10,9.06,17,-6.21
2010-02-24,8.70,2010-03-15,7.26,13,-16.55
2010-03-24,8.04,2010-04-01,6.90,6,-14.18
2010-04-20,7.44,2010-05-04,7.44,10,0.00
2010-05-11,7.68,2010-05-20,7.86,7,2.34
2010-10-13,11.28,2010-11-01,11.76,13,4.26
2010-12-07,11.04,2011-01-19,13.44,29,21.74
2011-03-29,11.16,2011-04-01,9.30,3,-16.67
2011-04-15,10.32,2011-05-04,10.02,12,-2.91
2011-06-28,8.70,2011-07-26,9.36,19,7.59
