Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2016-11-15,27.91,2016-12-02,25.23,12,-9.60
2017-01-04,25.15,2017-02-28,28.44,37,13.08
2017-12-26,46.49,2018-10-04,85.67,195,84.28
2018-11-01,76.75,2020-02-21,145.93,326,90.14
2019-09-18,134.25,2019-10-18,116.86,22,-12.95
2019-10-30,124.82,2020-02-21,145.93,77,16.91
2020-03-24,138.20,2020-06-04,172.10,50,24.53
2020-08-25,172.59,2020-12-28,231.80,86,34.31
2021-12-21,380.63,2022-01-05,311.64,10,-18.13
2022-01-28,319.17,2022-03-04,267.61,24,-16.15
2022-03-16,280.96,2022-04-29,224.83,31,-19.98
2022-06-02,196.62,2022-08-26,257.05,59,30.73
2022-11-30,131.55,2024-01-03,220.05,273,67.27
2023-05-18,148.08,2024-01-03,220.05,157,48.60
2024-03-08,208.80,2024-03-22,192.53,10,-7.79
2024-06-21,162.46,2024-08-02,143.68,29,-11.56
