Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1980-10-14,2.88,1980-12-10,4.25,39,47.83
1981-01-23,4.12,1981-02-17,3.88,16,-6.06
1981-03-12,3.75,1981-04-23,4.25,29,13.33
1981-05-28,3.88,1981-06-24,3.62,19,-6.45
1981-07-10,3.88,1981-07-29,3.12,13,-19.35
1981-08-07,3.50,1981-08-25,3.00,12,-14.29
1981-10-05,2.88,1981-10-20,2.62,11,-8.70
1982-06-15,2.50,1982-07-21,2.50,25,0.00
1983-04-18,3.62,1983-04-20,3.12,2,-13.79
1983-07-26,4.12,1983-08-04,4.00,7,-3.03
1983-11-30,3.75,1983-12-19,3.38,13,-10.00
1984-01-11,3.62,1984-01-27,3.38,12,-6.90
1984-05-21,3.12,1984-05-30,2.75,6,-12.00
1984-06-22,2.88,1984-08-14,2.50,36,-13.04
1984-09-04,2.62,1984-09-10,2.38,4,-9.52
1984-12-18,2.25,1985-01-31,2.62,30,16.67
1985-05-03,2.12,1985-05-22,2.12,13,0.00
1985-07-12,2.00,1985-07-16,1.88,2,-6.25
1985-09-24,1.88,1985-11-07,1.50,31,-20.00
1985-10-14,1.75,1985-11-07,1.50,18,-14.29
1986-12-23,2.75,1987-03-09,4.75,51,72.73
1987-11-02,6.25,1987-12-01,6.50,20,4.00
1988-08-05,7.00,1988-08-30,6.62,17,-5.36
1988-08-17,6.88,1988-08-30,6.62,9,-3.64
1989-02-08,6.38,1989-04-07,12.00,40,88.24
1989-07-06,13.12,1989-08-14,12.38,27,-5.71
1989-08-30,12.38,1989-09-20,10.88,14,-12.12
1989-09-25,11.88,1989-10-13,12.88,14,8.42
1990-03-05,10.75,1990-04-09,10.62,25,-1.16
1990-05-24,10.12,1990-06-18,9.75,16,-3.70
1990-08-29,5.75,1990-09-06,5.38,5,-6.52
1990-10-12,4.50,1990-10-24,3.62,8,-19.44
1990-11-28,3.62,1991-01-14,2.62,31,-27.59
1990-12-31,3.25,1991-01-14,2.62,9,-19.23
1991-01-29,2.75,1991-02-28,3.62,21,31.82
1991-06-11,3.25,1991-06-18,2.88,5,-11.54
1991-07-10,2.62,1991-08-19,2.25,28,-14.29
1991-08-02,2.50,1991-08-19,2.25,11,-10.00
1991-10-25,2.00,1991-11-26,3.12,22,56.25
1992-06-17,9.25,1992-07-24,9.50,26,2.70
1993-05-26,18.38,1993-10-04,30.75,90,67.35
1993-12-10,26.62,1994-01-31,20.88,35,-21.60
1994-02-22,21.62,1994-03-29,18.62,25,-13.87
1994-04-07,20.62,1994-04-19,20.00,8,-3.03
1994-05-27,18.25,1994-06-17,17.62,14,-3.42
1994-07-15,16.88,1994-08-01,15.25,11,-9.63
1994-08-22,15.00,1994-09-20,15.88,20,5.83
1994-11-07,12.50,1994-11-30,10.75,16,-14.00
1994-12-21,11.00,1995-01-12,11.25,14,2.27
1995-08-08,13.88,1995-08-28,12.38,14,-10.81
1995-08-30,13.88,1995-09-11,13.62,7,-1.80
1995-11-13,10.88,1996-02-07,12.88,59,18.39
1995-11-30,10.50,1996-02-07,12.88,47,22.62
1996-04-25,12.38,1996-05-10,12.38,11,0.00
1996-07-08,12.00,1996-07-15,10.75,5,-10.42
1996-08-01,11.38,1996-08-22,11.25,15,-1.10
1996-09-24,10.88,1996-10-14,11.38,14,4.60
1997-07-22,20.62,1997-08-13,21.12,16,2.42
1997-09-29,20.25,1997-10-06,18.94,5,-6.48
1997-10-14,19.62,1997-11-28,23.88,32,21.66
1998-04-30,25.81,1998-05-20,26.00,14,0.73
1998-07-30,22.19,1998-08-04,21.00,3,-5.35
1998-09-11,17.12,1998-10-06,14.25,17,-16.79
1998-09-23,16.50,1998-09-25,14.94,2,-9.47
1998-10-12,16.19,1998-12-03,15.75,37,-2.70
1999-02-24,15.56,1999-03-01,15.50,3,-0.40
1999-08-13,20.94,1999-08-31,21.00,12,0.30
1999-11-10,19.94,1999-12-01,19.19,14,-3.76
1999-12-28,18.44,2000-01-14,18.44,13,0.00
2000-02-03,18.31,2000-03-24,20.06,35,9.56
2000-06-28,20.69,2000-07-27,21.38,20,3.32
2001-01-11,25.25,2001-02-08,25.00,19,-0.99
2001-04-10,24.92,2001-05-07,25.26,18,1.36
2001-10-10,23.10,2001-12-31,24.30,56,5.19
2002-07-26,25.00,2002-08-23,25.00,20,0.00
2002-10-15,23.40,2002-12-18,26.93,45,15.09
2003-02-04,26.04,2003-02-13,25.75,7,-1.11
2003-05-28,27.75,2003-07-16,29.72,34,7.10
2003-10-02,10.40,2003-12-04,11.19,44,7.60
2003-10-28,10.36,2003-12-04,11.19,26,8.01
2004-03-12,11.40,2004-03-16,10.90,2,-4.39
2004-03-31,10.94,2004-05-10,10.85,27,-0.82
2004-07-15,10.23,2004-07-23,9.93,6,-2.93
2004-08-19,9.84,2004-10-11,11.21,36,13.92
2005-04-08,14.92,2005-04-28,13.83,14,-7.31
2005-05-06,14.68,2005-06-23,15.20,33,3.54
2006-05-03,17.87,2006-05-10,17.58,5,-1.62
2006-06-07,17.21,2006-06-19,15.96,8,-7.26
2006-06-29,16.47,2006-07-18,15.50,12,-5.89
2006-08-15,15.55,2006-08-25,15.37,8,-1.16
2007-03-21,19.31,2007-04-19,18.10,20,-6.27
2007-04-20,19.03,2007-04-30,17.70,6,-6.99
2007-07-13,16.08,2007-07-24,15.58,7,-3.11
2007-08-16,15.04,2007-10-12,13.45,40,-10.57
2007-10-02,14.04,2007-10-12,13.45,8,-4.20
2007-12-18,9.02,2008-02-11,8.96,36,-0.67
2008-04-03,7.10,2008-05-09,6.29,26,-11.41
2008-08-05,5.76,2008-08-26,5.77,15,0.17
2008-09-29,5.90,2008-09-30,5.26,1,-10.85
2008-10-31,3.62,2009-01-29,5.11,60,41.16
2009-03-12,4.84,2009-04-15,5.16,23,6.61
2009-06-29,4.01,2009-08-28,5.20,43,29.68
2009-11-06,4.45,2010-01-06,4.40,40,-1.12
2010-06-11,4.65,2010-07-06,3.89,16,-16.34
2010-07-13,4.27,2010-08-11,4.15,21,-2.81
2010-09-02,4.40,2010-09-22,4.33,13,-1.59
2011-05-04,4.87,2011-05-17,4.83,9,-0.82
2011-06-14,4.85,2011-07-27,5.25,30,8.25
2011-08-29,4.99,2011-11-18,5.22,58,4.61
2011-10-18,4.81,2011-11-18,5.22,23,8.52
2012-02-10,5.21,2012-05-09,4.50,61,-13.63
2012-03-16,5.04,2012-04-24,4.71,26,-6.55
2012-05-01,4.93,2012-05-08,4.67,5,-5.27
2012-05-25,4.63,2012-07-20,4.62,38,-0.22
2012-09-05,4.42,2012-10-01,4.25,18,-3.85
