Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2018-10-16,38.96,2018-11-20,32.25,25,-17.22
2018-10-31,36.29,2018-11-19,33.10,13,-8.79
2018-11-30,39.26,2019-04-04,63.28,84,61.18
2019-08-08,84.72,2019-08-19,71.80,7,-15.25
2019-10-07,49.88,2019-10-16,45.65,7,-8.48
2019-11-01,45.00,2020-01-31,56.09,61,24.64
2019-11-08,43.90,2020-01-31,56.09,56,27.77
2020-03-18,50.17,2020-06-26,106.00,70,111.28
2020-11-05,150.07,2020-11-09,128.77,2,-14.19
2020-11-20,143.01,2021-09-20,269.98,207,88.78
2021-04-06,182.12,2021-09-20,269.98,116,48.24
2021-05-24,174.40,2021-09-20,269.98,82,54.81
2021-10-07,269.88,2021-11-23,336.11,33,24.54
2021-12-21,319.42,2022-01-05,262.33,10,-17.87
2022-01-31,257.11,2022-03-07,204.37,24,-20.51
2022-02-24,263.38,2022-02-25,221.85,1,-15.77
2022-03-22,232.39,2022-05-06,172.94,32,-25.58
2022-05-27,160.00,2022-11-04,121.00,111,-24.38
2022-06-21,150.25,2022-11-03,131.07,95,-12.77
2022-09-09,188.00,2022-10-14,135.31,25,-28.03
2022-11-11,142.19,2022-12-19,112.27,25,-21.04
2023-01-17,113.51,2023-04-25,92.32,68,-18.67
2023-03-30,112.22,2023-04-05,101.30,4,-9.73
2023-05-08,107.92,2023-06-22,144.84,31,34.21
2023-08-29,144.39,2024-01-02,212.37,86,47.08
2024-02-27,242.49,2024-03-06,202.42,6,-16.52
2024-05-03,177.11,2024-05-28,164.16,16,-7.31
2024-05-10,174.62,2024-05-28,164.16,11,-5.99
