Date,Open,High,Low,Close,Ema,Rsi
1974-09-23,0.04,0.04,0.04,0.04,0.00,0.00
1974-09-24,0.04,0.04,0.04,0.04,0.00,0.00
1974-09-25,0.04,0.04,0.04,0.04,0.00,0.00
1974-09-26,0.04,0.04,0.04,0.04,0.00,0.00
1974-09-27,0.04,0.04,0.04,0.04,0.00,0.00
1974-09-30,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-01,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-02,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-03,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-04,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-07,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-08,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-09,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-10,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-11,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-14,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-15,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-16,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-17,0.03,0.03,0.03,0.03,0.00,0.00
1974-10-18,0.03,0.03,0.03,0.03,0.03,0.00
1974-10-21,0.03,0.03,0.03,0.03,0.03,0.00
1974-10-22,0.03,0.03,0.03,0.03,0.03,0.00
1974-10-23,0.03,0.03,0.03,0.03,0.03,0.00
1974-10-24,0.03,0.03,0.03,0.03,0.03,0.00
1974-10-25,0.03,0.03,0.03,0.03,0.03,0.00
1974-10-28,0.03,0.03,0.03,0.03,0.03,0.00
1974-10-29,0.03,0.03,0.03,0.03,0.03,0.00
1974-10-30,0.03,0.03,0.03,0.03,0.03,0.00
1974-10-31,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-01,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-04,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-05,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-06,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-07,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-08,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-11,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-12,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-13,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-14,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-15,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-18,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-19,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-20,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-21,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-22,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-25,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-26,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-27,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-28,0.03,0.03,0.03,0.03,0.03,0.00
1974-11-29,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-02,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-03,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-04,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-05,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-06,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-09,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-10,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-11,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-12,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-13,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-16,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-17,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-18,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-19,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-20,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-23,0.03,0.03,0.03,0.03,0.03,0.00
1974-12-24,0.03,0.03,0.03,0.03,0.03,27.98
1974-12-25,0.03,0.03,0.03,0.03,0.03,27.98
1974-12-26,0.03,0.03,0.03,0.03,0.03,27.98
1974-12-27,0.03,0.03,0.03,0.03,0.03,27.98
1974-12-30,0.03,0.03,0.03,0.03,0.03,27.98
1974-12-31,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-01,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-02,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-03,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-06,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-07,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-08,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-09,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-10,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-13,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-14,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-15,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-16,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-17,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-20,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-21,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-22,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-23,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-24,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-27,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-28,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-29,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-30,0.03,0.03,0.03,0.03,0.03,22.09
1975-01-31,0.05,0.05,0.05,0.05,0.03,98.79
1975-02-03,0.05,0.05,0.05,0.05,0.03,98.79
1975-02-04,0.05,0.05,0.05,0.05,0.03,98.79
1975-02-05,0.05,0.05,0.05,0.05,0.03,98.79
1975-02-06,0.05,0.05,0.05,0.05,0.03,98.79
1975-02-07,0.05,0.05,0.05,0.05,0.04,98.79
1975-02-10,0.05,0.05,0.05,0.05,0.04,98.79
1975-02-11,0.05,0.05,0.05,0.05,0.04,98.79
1975-02-12,0.05,0.05,0.05,0.05,0.04,98.79
1975-02-13,0.05,0.05,0.05,0.05,0.04,98.79
1975-02-14,0.05,0.05,0.05,0.05,0.04,98.79
1975-02-17,0.05,0.05,0.05,0.05,0.04,98.79
1975-02-18,0.05,0.05,0.05,0.05,0.04,98.79
1975-02-19,0.05,0.05,0.05,0.05,0.04,98.79
1975-02-20,0.05,0.05,0.05,0.05,0.04,98.79
1975-02-21,0.05,0.05,0.05,0.05,0.04,98.79
1975-02-24,0.05,0.05,0.05,0.05,0.04,98.79
1975-02-25,0.05,0.05,0.05,0.05,0.05,98.79
1975-02-26,0.05,0.05,0.05,0.05,0.05,98.79
1975-02-27,0.05,0.05,0.05,0.05,0.05,98.79
1975-02-28,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-03,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-04,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-05,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-06,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-07,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-10,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-11,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-12,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-13,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-14,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-17,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-18,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-19,0.06,0.06,0.06,0.06,0.05,99.65
1975-03-20,0.06,0.06,0.06,0.06,0.06,99.65
1975-03-21,0.06,0.06,0.06,0.06,0.06,99.65
1975-03-24,0.06,0.06,0.06,0.06,0.06,99.65
1975-03-25,0.06,0.06,0.06,0.06,0.06,99.65
1975-03-26,0.06,0.06,0.06,0.06,0.06,99.65
1975-03-27,0.06,0.06,0.06,0.06,0.06,99.65
1975-03-28,0.06,0.06,0.06,0.06,0.06,99.65
1975-03-31,0.05,0.05,0.05,0.05,0.06,41.44
1975-04-01,0.05,0.05,0.05,0.05,0.06,41.44
1975-04-02,0.05,0.05,0.05,0.05,0.06,41.44
1975-04-03,0.05,0.05,0.05,0.05,0.06,41.44
1975-04-04,0.05,0.05,0.05,0.05,0.06,41.44
1975-04-07,0.05,0.05,0.05,0.05,0.06,41.44
1975-04-08,0.05,0.05,0.05,0.05,0.06,41.44
1975-04-09,0.05,0.05,0.05,0.05,0.06,41.44
1975-04-10,0.05,0.05,0.05,0.05,0.06,41.44
1975-04-11,0.05,0.05,0.05,0.05,0.06,41.44
1975-04-14,0.05,0.05,0.05,0.05,0.06,41.44
1975-04-15,0.05,0.05,0.05,0.05,0.06,41.44
1975-04-16,0.05,0.05,0.05,0.05,0.05,41.44
1975-04-17,0.05,0.05,0.05,0.05,0.05,41.44
1975-04-18,0.05,0.05,0.05,0.05,0.05,41.44
1975-04-21,0.05,0.05,0.05,0.05,0.05,41.44
1975-04-22,0.05,0.05,0.05,0.05,0.05,41.44
1975-04-23,0.05,0.05,0.05,0.05,0.05,41.44
1975-04-24,0.05,0.05,0.05,0.05,0.05,41.44
1975-04-25,0.05,0.05,0.05,0.05,0.05,41.44
1975-04-28,0.05,0.05,0.05,0.05,0.05,41.44
1975-04-29,0.05,0.05,0.05,0.05,0.05,41.44
1975-04-30,0.06,0.06,0.06,0.06,0.05,92.38
1975-05-01,0.06,0.06,0.06,0.06,0.05,92.38
1975-05-02,0.06,0.06,0.06,0.06,0.05,92.38
1975-05-05,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-06,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-07,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-08,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-09,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-12,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-13,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-14,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-15,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-16,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-19,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-20,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-21,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-22,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-23,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-26,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-27,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-28,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-29,0.06,0.06,0.06,0.06,0.06,92.38
1975-05-30,0.07,0.07,0.07,0.07,0.06,97.85
1975-06-02,0.07,0.07,0.07,0.07,0.06,97.85
1975-06-03,0.07,0.07,0.07,0.07,0.06,97.85
1975-06-04,0.07,0.07,0.07,0.07,0.06,97.85
1975-06-05,0.07,0.07,0.07,0.07,0.06,97.85
1975-06-06,0.07,0.07,0.07,0.07,0.06,97.85
1975-06-09,0.07,0.07,0.07,0.07,0.06,97.85
1975-06-10,0.07,0.07,0.07,0.07,0.06,97.85
1975-06-11,0.07,0.07,0.07,0.07,0.07,97.85
1975-06-12,0.07,0.07,0.07,0.07,0.07,97.85
1975-06-13,0.07,0.07,0.07,0.07,0.07,97.85
1975-06-16,0.07,0.07,0.07,0.07,0.07,97.85
1975-06-17,0.07,0.07,0.07,0.07,0.07,97.85
1975-06-18,0.07,0.07,0.07,0.07,0.07,97.85
1975-06-19,0.07,0.07,0.07,0.07,0.07,97.85
1975-06-20,0.07,0.07,0.07,0.07,0.07,97.85
1975-06-23,0.07,0.07,0.07,0.07,0.07,97.85
1975-06-24,0.07,0.07,0.07,0.07,0.07,97.85
1975-06-25,0.07,0.07,0.07,0.07,0.07,97.85
1975-06-26,0.07,0.07,0.07,0.07,0.07,97.85
1975-06-27,0.07,0.07,0.07,0.07,0.07,97.85
1975-06-30,0.06,0.06,0.06,0.06,0.07,11.18
1975-07-01,0.06,0.06,0.06,0.06,0.07,11.18
1975-07-02,0.06,0.06,0.06,0.06,0.07,11.18
1975-07-03,0.06,0.06,0.06,0.06,0.07,11.18
1975-07-04,0.06,0.06,0.06,0.06,0.06,11.18
1975-07-07,0.06,0.06,0.06,0.06,0.06,11.18
1975-07-08,0.06,0.06,0.06,0.06,0.06,11.18
1975-07-09,0.06,0.06,0.06,0.06,0.06,11.18
